PRODUCT_ID,PRODUCT_NAME,PRODUCT_CATEGORY_ID,PRICE,PRODUCTION_DATE,DESCRIPTION
1,Nachos,1000,1.96,2024-09-22,"Nachos offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
2,Jalapenos,1000,2.09,2024-09-18,"Jalapenos offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
3,Popotitos Con Sal,1000,1.11,2024-09-19,"Popotitos Con Sal offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
4,Popotitos Mantequilla,1000,2.05,2024-09-21,"Popotitos Mantequilla offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
101,Centavitos,1000,0.88,2024-09-22,"Centavitos offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
102,Churritos,1000,1.93,2024-09-20,"Churritos offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
5,Quesitos,1000,1.76,2024-09-22,"Quesitos offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
6,Elotitos Con Limon,1000,0.89,2024-09-17,"Elotitos Con Limon offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
7,Elotitos Valientes,1000,0.52,2024-09-20,"Elotitos Valientes offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
103,Elotitos,1000,2.15,2024-09-18,"Elotitos offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
104,Elotitos Con Piquete,1000,1.07,2024-09-18,"Elotitos Con Piquete offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
105,Palitos Chilimon,1000,1.74,2024-09-18,"Palitos Chilimon offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
106,Favori Mix Criollo,1000,0.86,2024-09-16,"Favori Mix Criollo offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
8,Favori Mix Pachanga,1000,1.75,2024-09-22,"Favori Mix Pachanga offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
9,Favori Mix Conga,1000,1.77,2024-09-20,"Favori Mix Conga offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
107,Favori Mix Picante,1000,2.35,2024-09-17,"Favori Mix Picante offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
10,Favori Mix Queso,1000,2.34,2024-09-17,"Favori Mix Queso offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
108,Mani Con Limon,1000,0.98,2024-09-17,"Mani Con Limon offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
11,Mani Con Sal,1000,1.75,2024-09-22,"Mani Con Sal offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
