STORE_NAME,STORE_DESCRIPTION,ADDRESS,CONTACT_NAME,CONTACT_EMAIL,CONTACT_PHONE,REGION_ID
Super Selectos,"Tienda de tamaño mediana, acceso restringido, ubicada en el centro, aislada de otros comercios.",Residencial Ahuachapán,John Doe,email@example.com,+503 7000 0000,1
Maxi Despensa,"Tienda de tamaño grande, acceso complicado, ubicada en el centro, con amplio estacionamiento.",Residencial Ahuachapán,John Doe,email@example.com,+503 7000 0000,1
El Ahorrador Santa Maria Del Pueblo,"Tienda de tamaño mediana, fácil acceso, ubicada en la periferia, con áreas verdes cercanas.",Residencial Apaneca,John Doe,email@example.com,+503 7000 0000,101
La Esquina Los Primos Central,"Tienda de tamaño pequeña, acceso restringido, ubicada en el centro, con amplio estacionamiento.",Residencial Apaneca,John Doe,email@example.com,+503 7000 0000,101
Mini Market Los Ángeles Sur,"Tienda de tamaño grande, acceso restringido, ubicada en la periferia, con amplio estacionamiento.",Residencial Atiquizaya,John Doe,email@example.com,+503 7000 0000,201
El Ahorrador El Rosario Este,"Tienda de tamaño grande, acceso complicado, ubicada en zona comercial, con poca afluencia de gente.",Residencial Atiquizaya,John Doe,email@example.com,+503 7000 0000,201
La Despensa La Esperanza Central,"Tienda de tamaño mediana, fácil acceso, ubicada en zona residencial, cerca de otras tiendas.",Residencial Concepción de Ataco,John Doe,email@example.com,+503 7000 0000,2
Mayorista Santa Clara Norte,"Tienda de tamaño mediana, acceso complicado, ubicada en el centro, con amplio estacionamiento.",Residencial Concepción de Ataco,John Doe,email@example.com,+503 7000 0000,2
Super Selectos,"Tienda de tamaño grande, acceso restringido, ubicada en el centro, con amplio estacionamiento.",Residencial El Refugio,John Doe,email@example.com,+503 7000 0000,3
Abarrotes Los Primos Este,"Tienda de tamaño grande, acceso restringido, ubicada en la periferia, sin estacionamiento.",Residencial El Refugio,John Doe,email@example.com,+503 7000 0000,3
Tienda Familiar El Rosario Express,"Tienda de tamaño pequeña, acceso restringido, ubicada en zona residencial, con amplio estacionamiento.",Residencial Guaymango,John Doe,email@example.com,+503 7000 0000,102
Mercadito El Buen Gusto Central,"Tienda de tamaño grande, fácil acceso, ubicada en la periferia, con amplio estacionamiento.",Residencial Guaymango,John Doe,email@example.com,+503 7000 0000,102
La Despensa La Fortuna Oeste,"Tienda de tamaño pequeña, fácil acceso, ubicada en la periferia, cerca de otras tiendas.",Residencial Jujutla,John Doe,email@example.com,+503 7000 0000,103
El Ahorrador San Carlos Oeste,"Tienda de tamaño mediana, acceso complicado, ubicada en la periferia, sin estacionamiento.",Residencial Jujutla,John Doe,email@example.com,+503 7000 0000,103
Supermercado Santa Clara Del Pueblo,"Tienda de tamaño mediana, fácil acceso, ubicada en zona residencial, con mucha afluencia de gente.",Residencial San Francisco Menéndez,John Doe,email@example.com,+503 7000 0000,202
Distribuidora Santa Maria Central,"Tienda de tamaño grande, acceso restringido, ubicada en zona comercial, con áreas verdes cercanas.",Residencial San Francisco Menéndez,John Doe,email@example.com,+503 7000 0000,202
Despensa de Don Juan,"Tienda de tamaño grande, acceso restringido, ubicada en la periferia, sin estacionamiento.",Residencial San Lorenzo,John Doe,email@example.com,+503 7000 0000,104
Dollar City,"Tienda de tamaño mediana, acceso complicado, ubicada en el centro, con poca afluencia de gente.",Residencial San Lorenzo,John Doe,email@example.com,+503 7000 0000,104
Super El Buen Gusto Central,"Tienda de tamaño pequeña, acceso complicado, ubicada en zona comercial, con amplio estacionamiento.",Residencial San Pedro Puxtla,John Doe,email@example.com,+503 7000 0000,4
El Rinconcito Nuevo Mundo Oeste,"Tienda de tamaño mediana, acceso restringido, ubicada en el centro, con amplio estacionamiento.",Residencial San Pedro Puxtla,John Doe,email@example.com,+503 7000 0000,4
Supermercado Nuevo Mundo Este,"Tienda de tamaño mediana, acceso restringido, ubicada en zona comercial, con áreas verdes cercanas.",Residencial Tacuba,John Doe,email@example.com,+503 7000 0000,301
Punto de Venta Los Primos Del Pueblo,"Tienda de tamaño mediana, acceso restringido, ubicada en zona comercial, con amplio estacionamiento.",Residencial Tacuba,John Doe,email@example.com,+503 7000 0000,301
