STORE_ID,STORE_NAME,STORE_DESCRIPTION,ADDRESS,CONTACT_NAME,CONTACT_EMAIL,CONTACT_PHONE,REGION_ID
1,Super Selectos,"Tienda de tamaño mediana, acceso restringido, ubicada en el centro, aislada de otros comercios.",Residencial Ahuachapán,John Doe,email@example.com,+503 7000 0000,1
2,Maxi Despensa,"Tienda de tamaño grande, acceso complicado, ubicada en el centro, con amplio estacionamiento.",Residencial Ahuachapán,John Doe,email@example.com,+503 7000 0000,1
3,El Ahorrador Santa Maria Del Pueblo,"Tienda de tamaño mediana, fácil acceso, ubicada en la periferia, con áreas verdes cercanas.",Residencial Apaneca,John Doe,email@example.com,+503 7000 0000,101
4,La Esquina Los Primos Central,"Tienda de tamaño pequeña, acceso restringido, ubicada en el centro, con amplio estacionamiento.",Residencial Apaneca,John Doe,email@example.com,+503 7000 0000,101
5,Mini Market Los Ángeles Sur,"Tienda de tamaño grande, acceso restringido, ubicada en la periferia, con amplio estacionamiento.",Residencial Atiquizaya,John Doe,email@example.com,+503 7000 0000,201
6,El Ahorrador El Rosario Este,"Tienda de tamaño grande, acceso complicado, ubicada en zona comercial, con poca afluencia de gente.",Residencial Atiquizaya,John Doe,email@example.com,+503 7000 0000,201
7,La Despensa La Esperanza Central,"Tienda de tamaño mediana, fácil acceso, ubicada en zona residencial, cerca de otras tiendas.",Residencial Concepción de Ataco,John Doe,email@example.com,+503 7000 0000,2
8,Mayorista Santa Clara Norte,"Tienda de tamaño mediana, acceso complicado, ubicada en el centro, con amplio estacionamiento.",Residencial Concepción de Ataco,John Doe,email@example.com,+503 7000 0000,2
9,Super Selectos,"Tienda de tamaño grande, acceso restringido, ubicada en el centro, con amplio estacionamiento.",Residencial El Refugio,John Doe,email@example.com,+503 7000 0000,3
10,Abarrotes Los Primos Este,"Tienda de tamaño grande, acceso restringido, ubicada en la periferia, sin estacionamiento.",Residencial El Refugio,John Doe,email@example.com,+503 7000 0000,3
11,Tienda Familiar El Rosario Express,"Tienda de tamaño pequeña, acceso restringido, ubicada en zona residencial, con amplio estacionamiento.",Residencial Guaymango,John Doe,email@example.com,+503 7000 0000,102
12,Mercadito El Buen Gusto Central,"Tienda de tamaño grande, fácil acceso, ubicada en la periferia, con amplio estacionamiento.",Residencial Guaymango,John Doe,email@example.com,+503 7000 0000,102
13,La Despensa La Fortuna Oeste,"Tienda de tamaño pequeña, fácil acceso, ubicada en la periferia, cerca de otras tiendas.",Residencial Jujutla,John Doe,email@example.com,+503 7000 0000,103
14,El Ahorrador San Carlos Oeste,"Tienda de tamaño mediana, acceso complicado, ubicada en la periferia, sin estacionamiento.",Residencial Jujutla,John Doe,email@example.com,+503 7000 0000,103
15,Supermercado Santa Clara Del Pueblo,"Tienda de tamaño mediana, fácil acceso, ubicada en zona residencial, con mucha afluencia de gente.",Residencial San Francisco Menéndez,John Doe,email@example.com,+503 7000 0000,202
